work_type,area_sqft,thickness_inches,floors,bricks,cement_bags,sand_cft,steel_kg,aggregate_cft,water_liters,labor_days
3,4754.1,0.0,3,0,16293.7,31885.6,10886.7,59316.8,6414.1,463.7
2,112.7,0.0,1,0,4.4,2.2,0.0,0.0,16.4,1.8
5,45.3,0.0,1,0,2.3,1.3,13.2,0.9,9.2,1.1
3,2576.0,0.0,1,0,2892.4,5251.4,1999.0,11291.4,1306.8,83.1
3,619.0,0.0,1,0,678.1,1319.5,465.6,2537.4,302.6,22.2
5,2738.1,0.0,1,0,138.4,85.8,780.0,50.4,568.8,66.6
1,4826.6,0.0,1,0,357.0,200.0,0.0,0.0,1155.8,47.0
0,4934.6,9.0,1,45489,113.7,361.5,0.0,0.0,3061.1,102.1
1,588.2,0.0,1,0,47.5,23.9,0.0,0.0,154.2,5.7
5,1632.7,0.0,1,0,80.9,51.0,523.0,32.5,342.9,41.6
0,3611.4,4.5,1,17475,43.3,136.3,0.0,0.0,941.5,75.2
1,2202.3,0.0,1,0,177.5,87.6,0.0,0.0,623.1,20.9
3,4538.8,0.0,3,0,15858.8,31750.4,11776.9,59331.1,6907.9,474.2
5,3170.7,0.0,1,0,160.6,96.6,1016.5,64.0,624.3,81.9
0,1367.9,4.5,1,7275,16.2,41.5,0.0,0.0,417.5,26.8
3,1228.2,0.0,3,0,4052.5,7792.8,2649.6,14692.8,1971.6,122.7
0,749.0,9.0,1,6863,18.1,51.3,0.0,0.0,434.6,15.0
4,1731.9,0.0,1,0,0.0,0.0,0.0,0.0,92.8,12.2
4,2452.4,0.0,1,0,0.0,0.0,0.0,0.0,129.6,17.0
2,1218.4,0.0,1,0,48.4,26.1,0.0,0.0,182.3,20.5
0,762.1,4.5,1,4136,9.5,26.7,0.0,0.0,224.4,15.7
3,4703.2,0.0,3,0,14783.6,28368.2,11105.9,61450.7,6620.6,475.7
3,1311.5,0.0,1,0,1559.3,2780.1,1090.2,5149.3,612.5,44.9
5,3901.6,0.0,1,0,198.0,113.1,1184.1,79.2,752.4,106.6
4,1129.1,0.0,1,0,0.0,0.0,0.0,0.0,57.8,7.2
4,902.3,0.0,1,0,0.0,0.0,0.0,0.0,46.9,6.4
2,3291.5,0.0,1,0,126.8,63.0,0.0,0.0,497.3,51.1
5,2953.5,0.0,1,0,142.0,88.6,904.3,58.7,616.5,78.6
0,984.3,4.5,1,4591,13.5,34.4,0.0,0.0,295.1,19.9
5,4575.2,0.0,1,0,227.3,142.3,1341.5,95.1,962.9,112.4
2,855.8,0.0,1,0,35.4,17.2,0.0,0.0,132.4,15.5
1,3078.9,0.0,1,0,259.3,123.5,0.0,0.0,803.3,32.4
